KEY,DESCRIPTION,IT,EN,JA,DE
MSG_PRESS_FOR_NEXT_MISSION,,🎳 Premi sul pulsante per andare alla prossima missione.,🎳 Press the button to go to the next mission.,🎳 ボタンを押して、次のミッションに移動します。,"🎳 Drücke die Taste, um zur nächsten Mission zu gehen."
MSG_PRESS_TO_START,,Quando siete pronti per iniziare premete il pulsante qua sotto.,When you are ready to start press the button below.,準備ができたら、下のボタンを押します。,"Wenn ihr bereit seid, drücke die Taste unten zu starten."
MSG_QR_ERROR,,"❌ QR errato o non riconosciuto, riprova!","❌ QR wrong or unrecognized, try again!",❌ QR間違っているか認識されていないQR、もう一度やり直してください！,"❌ QR falsch oder nicht anerkannt, versuchen Sie es erneut!"
MSG_QR_OK,,✅ QR valido!,✅ QR valid!,✅QR有効！,✅ QR Gültig!
MSG_RECORDING_MISSIONE_WRONG,,"🤔 Mi dispiace, la registrazione non è stata accettata.

🎤 Riprovate a mandarmi una nuova registrazione!","🤔 Unfortunately the recording wasn't accepted.

🎤 Try to send us a new recording!","🤔 残念ながら、録音は受け入れられませんでした。

🎤 私たちに新しい録音を送ってみてください！","🤔Die Aufnahme ist nich gultig.                                         
🎤 Versuchen Sie uns eine neue Aufnahme zu senden!"
MSG_RELOADED_HUNTS_CONFIG,,💨 Configurazione cacce aggiornata,💨 Hunt config updated,💨 が更新されました,💨 Hunt config aktualisiert
MSG_SCAN_QR_CODE,,🤳 Scannerizza il prossimo QR code,🤳 Scan the next QR code,🤳 次のQRコードをスキャンします,🤳 Scannen Sie den nächsten QR -Code
MSG_SELFIE_INIZIALE,,"📷 Ora voglio vedere quanto belli siete.
Mandatemi un bel selfie di gruppo!

⏱️ Appena mi invierete la foto darò il via al tempo.","📷 Now I want to see you!
Send me a selfie with all the tram members!

⏱️ As soon as you send me the picture, I will start the timer.","📷 今、私はあなたに会いたいです！
すべてのトラムメンバーと一緒にセルフィーを送ってください！

⏱️ 写真を送ったらすぐに、タイマーを開始します。","📷 Bevor es weitergeht, macht doch bitte ein schones Gruppenselfie! 

⏱️ Sofort werde ich das Bild bekommen, wird das Spielzeit gestartet."
MSG_SELFIE_INIZIALE_OK,,"😀 Siete stupendi!
Ora possiamo iniziare con la *prima missione*.","😀 You are so beautiful!
Now we can start with the *first mission*.","😀 あなたはとても美しいです！
これで、 *First Mission *から始めることができます。","😀 Ihr seid wunderschön!
Jetzt können wir mit der ersten Mission *beginnen."
MSG_SELFIE_MISSIONE_WRONG,,"🤔 Mi dispiace, il selfie non è stato accettato perché non rappresenta l'oggetto dell'indovinello o non vi si vede bene.

📷 Riprovate a mandarmi un nuovo selfie!","🤔 Unfortunately the selfie hasn't been accepted because it doesn't include the object of the riddle, or we cannot see you clearly.

📷 Try to send us a new selfie!","🤔 自撮りは、謎のオブジェクトが含まれていないか、私たちがあなたをはっきりと見ることができないので、自撮りは受け入れられていません。

📷 新しいセルフィーを送ってみてください！","🤔 Leider wurde das Selfie nicht akzeptiert, weil es nicht das Objekt des Rätsels enthält, oder es ist nicht deutlich sichtbar.

📷 Versucht ein neues Selfie zu machen!"
MSG_START_TIME,,⏱ Via al tempo!,⏱ Time is running!,⏱ 時間が実行されています！,⏱ Die Zeit läuft!
MSG_SUPPORT,,"💁 Se hai problemi, ci puoi contattare sul [Gruppo Telegram di Supporto](https://t.me/+aY3jb5BM6EE5Mzc8).","💁 If you have any problem, you can contact us using the [Support Telegram Group](https://t.me/+aY3jb5BM6EE5Mzc8).",💁 何か問題がある場合は、[サポートテレグラムグループ](https://t.me/+aY3jb5BM6EE5Mzc8)を使用してご連絡ください。,"💁 Wenn Sie ein Problem haben, können Sie uns über die [Support Telegram Group](https://t.me/+aY3jb5BM6EE5Mzc8) kontaktieren."
MSG_SURVEY_INTRO,,"📋 Prima di dirvi quanto ci avete messo, vorrei farvi alcune domande...","📋 Before telling you how long it took you to complete the game, I would like to ask you few questions...",📋 ゲームを完了するのにどれくらい時間がかかったかを伝える前に、私はあなたにいくつかの質問をしたいと思います...,"📋 Bevor ich euch sage, wie lange die Schatzsuche gedauert hat, möchte ich euch ein paar Fragen stellen..."
MSG_THANKS_FOR_PARTECIPATING,,😀 Grazie di aver partecipato alla caccia al tesoro!,😀 Thanks for participating to the treasure hunt!,😀 トレジャーハントに参加してくれてありがとう！,"😀 Danke, dass du mit deine Gruppe an der Schatzsuche teilgenommen hast!"
MSG_TIME_STOP,,⏱ Stop al tempo!,⏱ Stopping the time!,⏱ 時間に止めてください！,⏱ Halten Sie zur Zeit vorbei!
MSG_TOO_EARLY,,⏱️ Troppo presto! Provate tra {} secondi.,⏱️ Too early! Try again in {} seconds.,⏱ 早め！ {}秒で再試行してください。,⏱️ Zu früh! Versuche es nochmal in {} Sekunden.
MSG_TOO_FAR,,"😳 Siete ancora un po' lontani, il posto che dovete raggiungere è a *{} metri* in distanza aerea da dove vi trovate ora.

⚠️ Se pensate di essere arrivati al punto giusto potrebbe esserci un problema di aggiornamento del GPS del vostro dispositivo. In tal caso riprovate mandandomi la posizione premendo la graffetta 📎 in basso e mandatemi la posizione corretta sulla mappa.","😳 You are still a bit far away. The place you should reach is *{} meters* away.

⚠️ If you are really sure you have arrived at the right place, there could be a problem of your phone to get the updated GPS info. In this case try to send me your position by pressing the clip 📎 and select the right position in the map.","😳 あなたはまだ少し遠くにいます。到達する必要がある場所は * {}メートル *です。

⚠️ 適切な場所に到着したことを本当に確信している場合は、更新されたGPS情報を取得するために携帯電話の問題がある可能性があります。この場合、クリップを押してポジションを送って、マップ内の正しい位置を選択してください。","😳 Ihr seid immer noch ein bisschen zu weit weg. Der Ort, den ich erreichen solltet, ist * {} Meter * entfernt.

⚠️  Wenn ihr glaubt, dass ihr den richtigen Standort erreicht habt, liegt möglicherweise ein Problem mit der GPS-Aktualisierung auf Ihrem Gerät vor. In diesem Fall versucht es nochmal bitte, indem auf die 📎 Büroklammer unten drücken und mir die richtige Position auf der Karte schicken."
MSG_VERSION,,🏷️ {},🏷️ {},🏷 {},🏷️ {}
MSG_VIDEO_MISSIONE_WRONG,,"🤔 Mi dispiace, il video non è stata accettato.

🎦 Riprovate a mandarmi un nuovo video!","🤔 Unfortunately the video wasn't accepted.

🎦 Try to send us a new video!","🤔 残念ながら、ビデオは受け入れられませんでした。

🎦 新しいビデオを送ってみてください！","🤔 Leider wurde das Video nicht akzeptiert.

🎦 Versucht Ihr ein neues Video zu senden!"
MSG_WAIT_SELFIE_APPROVAL,,💤 Rimanete in attesa qualche istante prima che il selfie venga verificato.,💤 Wait few instants so that the selfie can be verified.,💤 を検証できるように、数回待ってください。,"💤 Wartet ihr nur zurz, damit das Selfie überprüft werden kann."
MSG_WAIT_VIDEO_APPROVAL,,💤 Rimanete in attesa qualche istante prima che il video venga verificato.,💤 Wait few instants so that the video can be verified.,💤 ビデオを検証できるように、数回待ってください。,"💤 Wartet ihr nur wenige Augenblicke, damit das Video überprüft werden kann."
MSG_WAIT_VOICE_APPROVAL,,💤 Rimanete in attesa qualche istante prima che la registrazione venga verificata.,💤 Wait few instants so that the recording can be verified.,💤 録音を検証できるように、数回待ってください。,"💤 Wartet ihr nur wenige Augenblicke, damit die Aufnahme überprüft werden kann."
MSG_WELCOME,,"😀 Ciao sono Nett1 🔱, benvenuti in hiSTORIC!

🎛️ Usate i pulsanti qua sotto per interagire con me!","😀 Hi,  I'm Nett1 🔱, welcome to hiSTORIC!

🎛️ Please use the buttons below to interact with me!","😀 こんにちは、私はnett1🔱、歴史的なものへようこそ！

🎛️ 以下のボタンを使用して私とやり取りしてください！","😀 Hallo, ich bin nett1 🔱, willkommen in hiSTORIC!

🎛️ Bitte verwende die folgenden Tasten, um mit mir zu interagieren!"
MSG_WELCOME_IN_HUNT,,"😀 Ciao!  
Benvenuti nella caccia al tesoro di hiSTORIC: *{}*!","😀 Hi!
Welcome to the treasure hunt of hiSTORIC: *{}*!","😀 こんにちは！
歴史的なトレジャーハントへようこそ： *{} *！","😀 Hallo!
Willkommen zur Schatzsuche von hiSTORIC: *{} *!"
MSG_WORK_IN_PROGRESS,,"🏗 Il sistema è in aggiornamento, ti preghiamo di riprovare più tardi.","🏗 System under maintenance, please try again later.",🏗 メンテナンス中のシステム、後でもう一度やり直してください。,"🏗 System unter Wartung, bitte versuche es später erneut."
MSG_WRONG_INPUT,,⛔️ Input non valido.,⛔️ Not a valid input.,⛔️有効な入力ではなく。,⛔️ Ungültiger Befehl.
MSG_WRONG_INPUT_INSERT_TEXT,,"⛔️ Input non valido, devi rispondere con del testo.","⛔️ Not a valid input, you have to insert some text.",⛔️有効な入力ではなく、テキストを挿入する必要があります。,"⛔️ Ungültiger Befehl, du kannst nur einen Text einfügen."
MSG_WRONG_INPUT_INSERT_TEXT_OR_BUTTONS,,"⛔️ Input non valido, devi rispondere con del testo o usa i bottoni qui sotto 🎛","⛔️ Not a valid input, you have to insert some text or use the buttons below 🎛",⛔️有効な入力ではないので、テキストを挿入するか、下のボタンを使用する必要があります。,"⛔️ Ungültiger Befehl, du kannst nur einen Text einfügen oder die Schaltflächen unten verwenden 🎛"
MSG_WRONG_INPUT_SEND_LOCATION,,"⛔️ Input non valido, devi mandarmi la tua posizione premendo il pulsante qua sotto o usando la graffetta in basso 📎 e selezionando POSIZIONE dal menu che compare. Ricordati che devi avere il GPS attivo.","⛔️ Not a valid input, you have to send me your position using the button below or pressing the clip 📎 below and select LOCATION from he menu. Remember to activate the GPS in your device.",⛔️ 有効な入力ではなく、下のボタンを使用してポジションを送信するか、下のクリップを押して、HEメニューから[場所]を選択する必要があります。デバイスのGPSをアクティブにすることを忘れないでください。,"⛔️ Ungültiger Befehl, du kannst nur deine Position mit dem Taste unten oder drücke des Clips 📎 unten senden und den Speicherort aus dem Menü auswählen. Denken Sie daran, das GPS in Ihrem Gerät zu aktivieren."
MSG_WRONG_INPUT_SEND_PHOTO,,"⛔️ Input non valido, devi mandarmi una foto. Premi la graffetta 📎 qua in basso e premi sull'immagine della fotocamera 📷, fai una foto e inviamela.","⛔️ Not a valid input, you have to send me a picture. Press the clip 📎 below and select the camera input 📷, take a picture and send it to me.",⛔️ 有効な入力ではなく、写真を送信する必要があります。以下のクリップを押して、カメラの入力を選択し、写真を撮って私に送ってください。,"⛔️ Ungültiger Befehl, du kannst mir nur ein Bild schicken. Drücke den Clip 📎 unten, wähle die Kameraeingabe 📷, mache ein Bild und schicke es mir."
MSG_WRONG_INPUT_SEND_VIDEO,,"⛔️ Input non valido, devi mandarmi un video. Premi la graffetta 📎 qua in basso e premi sull'immagine della fotocamera 📷. Infine tieni premuto il pulsante per effettuare il video.","⛔️ Not a valid input, you have to send me a video. Press the clip 📎 below and select the camera input 📷. Hold the main button to take a video and send it to me.",⛔️ 有効な入力ではなく、ビデオを送信する必要があります。📎 以下のクリップを押して、カメラの入力を選択します 📷。メインボタンを持ってビデオを取り、私に送ってください。,"⛔️ Ungültiger Befehl, du kannst mir nur ein Video senden. Drücke den Clip 📎 unten und wähle die Kameraeingabe 📷. Halte den Hauptknopf gedrückt, um ein Video aufzunehmen und es mir zu senden."
MSG_WRONG_INPUT_SEND_VIDEO_NO_VIDEO_NOTE,,"⛔️ Input non valido, hai usato un videomessaggio ""tondo"" premendo il pulsante con un quadrato 🔳 a fianco della graffetta 📎. Purtroppo quello è un video ""speciale"" che non sono ancora in grado di capire 😥. Per ora devi seguire questa procedura: premi la graffetta 📎 qua in basso e premi sull'immagine della fotocamera 📷. Infine tieni premuto il pulsante per effettuare il video.","⛔️ Not a valid input, you have sent me a video note (in a circle) by pressing the square 🔳 button next to the clip 📎 below. Please follow the following procedure: press the clip 📎 below and select the camera input 📷. Hold the main button to take a video and send it to me.",⛔️ 彼は有効な入力ではないので、下のクリップの横にある正方形のボタンを押すことで、ビデオノート（円内で）を送ってくれました。次の手順に従ってください。以下のクリップを押して、カメラの入力を選択します。メインボタンを持ってビデオを取り、私に送ってください。🔳🔳📎📎,"⛔️ Ungültiger Befehl, du hast mir einen Videonotiz (im Kreis) geschickt, weil du auf die Schaltfläche Square 🔳 neben dem Clip 📎 unten gedrückt hast. Bitte befolge die folgende Prozedur: Drücke den Clip 📎 unten und wähle die Kameraeingabe 📷. Halte Sie den Hauptknopf gedrückt, um ein Video aufzunehmen und es mir zu senden."
MSG_WRONG_INPUT_SEND_VOICE,,"⛔️ Input non valido, devi mandarmi una registrazione vocale. Tieni premuto il pulsante del microfono 🎤 qua in basso (se vedi un quadrato 🔳 premilo per attivare la modalità microfono 🎤).","⛔️ Not a valid input, you have to send me a recording. Hold the icon of the microphone 🎤 below (if you see a square 🔳 tap it to change it to microphone mode 🎤).",⛔️ 有効な入力ではなく、録音を送信する必要があります。マイクのアイコンを下に保持します（正方形が表示された場合は、タップしてマイクモードに変更します）。🎤🔳🎤,"⛔️ Ungültiger Befehl. Du kannst mir nur eine Sprachnachricht senden. Halte das Symbol des Mikrofons 🎤 unten (wenn Sie ein Quadrat sehen 🔳 Tippen Sie darauf, um es in den Mikrofonmodus zu ändern. 🎤)."
MSG_WRONG_INPUT_USE_BUTTONS,,"⛔️ Input non valido, usa i bottoni qui sotto 🎛","⛔️ Not a valid input, use the buttons below 🎛",⛔️有効な入力ではなく、下のボタンを使用してください 🎛,"⛔️ Keine gültige Eingabe, verwende die Schaltflächen unten 🎛"
MSG_WRONG_NUMBER_OF_PEOPLE,,😕 Non ho capito. Ti prego di inserire il numero di persone (in cifre) ad esempio 3.,😕 I didn't understand. Please enter the number of people (in figures) for example 3.,😕私は理解していませんでした。たとえば、（図に）人数を入力してください。,😕 Ich habe nicht verstanden. Bitte schreibe nochmal die Anzahl des Mitglieds deinesTeams.
MSG_WRONG_PASSWORD,,🙈 Non hai inserito la parola magica giusta per iniziare la caccia al tesoro.,🙈 You didn't type in the correct password to start the treasure hunt.,🙈 宝狩りを開始するために、正しいパスワードを入力しませんでした。,"🙈 Du hast das richtige Passwort nicht eingeben, um die Schatzsuche zu starten."
MSG_YOU_ARE_IN_A_GAME_EXIT_FIRST,,"❌ Sei all'interno di una caccia. 
Se vuoi uscire o ricominciare premi su /exit.","❌ You are inside a game. 
If you want to exit or restart press on /exit.","❌ あなたはゲームの中にいます。
出口または再起動 /終了 /終了を再起動する場合。/exit","❌ Ihr seid in einem Schatsuche.
Wenn ihr diese Schatzsuche fortsetzen oder beenden möchtet, dann klickt auf EXIT."
